2026/05/28 19:06:20 [error] 12180#22312: *6306 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-cron.php?doing_wp_cron=1779973835.8313910961151123046875 HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "acm-local.local"
2026/06/09 18:30:31 [error] 12356#28448: *7202 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7203 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7204 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7205 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&search=&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7206 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7207 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7208 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7209 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7210 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7211 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&search=&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7212 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7213 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7214 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7215 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7216 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7217 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&search=&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7218 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7219 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7220 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7221 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7222 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7223 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&search=&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7224 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7225 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7226 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7227 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7228 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7229 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&search=&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7230 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7231 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7232 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7233 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7234 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7235 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&search=&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7236 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7237 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7238 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7239 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7240 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7241 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&search=&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7242 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
